"term","nss.1987","nss.1988","nss.1990","nss.1991","nss.1993","nss.1994","nss.1995","nss.1996","nss.1997","nss.1998","nss.1999","nss.2001","nss.2002","nss.2006","nss.2010","nss.2015","termc"
"introduc",3,1,1,0,1,0,0,0,1,1,0,2,0,0,0,0,"introduce"
"introduct",3,0,0,0,0,3,4,4,0,3,2,1,0,0,0,2,"introduction"
"intrud",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"intruders"
"intrus",0,0,0,0,0,0,1,1,2,0,1,2,0,0,3,0,"intrusion"
"inv",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"invading"
"invad",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"invading"
"invalu",0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,"invaluable"
"invas",1,2,0,3,0,2,2,2,2,2,2,2,0,0,0,0,"invasion"
"inventor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"inventories"
"inventori",0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,"inventories"
"invest",24,15,14,21,9,12,22,30,30,44,27,36,21,16,46,34,"invest"
"investig",0,1,0,0,1,0,0,1,2,10,4,4,1,2,2,1,"investigate"
"investmentgrad",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"investmentgrade"
"investmentrel",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"investmentrelated"
"investor",0,0,0,0,0,1,1,1,0,6,2,2,0,0,0,0,"investor"
"invigor",0,0,0,0,1,1,1,2,0,1,0,1,0,0,0,0,"invigorate"
"invit",1,1,1,4,0,1,3,6,2,0,2,1,0,1,0,1,"invitation"
"invite",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"invite"
"invok",0,0,0,0,0,0,0,2,1,0,0,0,2,0,3,0,"invoke"
"involuntari",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,""
"involv",11,10,6,4,4,13,17,20,8,12,13,20,1,9,3,1,"involve"
"inward",0,0,1,3,2,0,1,1,1,0,0,1,0,0,0,0,"inward"
"inwardlook",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"inwardlooking"
"ion",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ion"
"iona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"iona"
"ional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"ional"
"ipient",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ipient"
"ira",0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,"ira"
"iran",3,14,1,2,0,7,6,11,8,14,12,15,1,10,12,10,"iran"
"iranian",1,2,0,0,0,1,1,2,1,7,4,6,0,6,2,1,"iranian"
"iraniraq",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"iraniraq"
"iranlibya",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"iranlibya"
"iraq",1,4,0,12,1,10,11,16,10,20,14,15,1,30,19,10,"iraq"
"iraqi",0,0,0,7,0,0,1,1,1,3,8,10,0,27,13,5,"iraqi"
"iraqkuwait",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"iraqkuwait"
"ireland",0,0,0,0,0,0,4,9,4,12,7,8,0,2,0,0,"ireland"
"irish",0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,"irish"
"iron",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"iron"
"ironclad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ironclad"
"irrefut",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"irrefutable"
"irregular",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"irregular"
"irrelev",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"irrelevant"
"irrepar",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"irreparable"
"irreplac",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"irreplaceable"
"irrespect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"irrespective"
"irrespons",0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,3,"irresponsibility"
"irrevers",0,2,1,0,0,0,0,0,0,0,1,3,0,0,0,0,"irreversibility"
"irrit",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"irritants"
"isaf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"isaf"
"isand",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"isand"
"isbn",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"isbn"
"ish",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ished"
"isil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"isil"
"isla",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"isla"
"islam",0,0,0,0,0,0,0,1,0,3,3,3,0,7,4,2,"islam"
"islamabad",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"islamabad"
"island",2,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,"island"
"isol",2,0,1,2,1,2,3,2,4,8,2,2,1,4,13,0,"isolate"
"isolation",0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,"isolation"
"isolationist",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"isolationist"
"isr",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"isr"
"isra",1,2,0,0,0,0,0,1,0,1,1,1,3,2,6,0,"israe"
"israel",5,4,2,5,0,2,7,9,3,4,7,6,5,6,11,4,"israel"
"israelilebanes",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"israelilebanese"
"israelipalestinian",0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,"israelipalestinian"
"israelisyrian",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,"israelisyrian"
"israelpalestinian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"israelpalestinian"
"israelsyrian",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"israelsyrian"
"issu",8,12,20,14,5,12,18,24,16,30,28,37,2,7,30,2,"issue"
"ist",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"istanbul"
"istanbul",0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,"istanbul"
"istor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"istor"
"ita",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"ita"
"itali",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,""
"itar",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"itar"
"itari",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"itd",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"itds"
"ite",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ited"
"item",0,2,1,2,3,0,1,1,0,2,1,4,0,0,0,0,"item"
"ith",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"ith"
"ither",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ither"
"iti",0,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,"itiative"
"itiat",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"itiative"
"itic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"itical"
"itu",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"itu"
"ive",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ives"
"ivori",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""
"ize",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ize"
"jan",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"jan"
"januari",0,2,0,0,2,2,8,9,0,4,0,4,0,0,1,0,""
"japan",11,17,9,10,9,10,10,12,12,21,22,24,5,5,2,4,"japan"
"japanes",4,1,0,1,0,3,4,3,0,2,2,5,1,0,0,0,"japanese"
"ject",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"ject"
"jefferson",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"jeffersons"
"jeopard",1,1,1,0,0,1,1,3,0,0,0,1,0,1,0,0,"jeopardize"
"jeopardi",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"jeopardize"
"jeremiah",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"jeremiah"
"jerusalem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"jerusalem"
"jet",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"jet"
"jew",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"jewish"
"jewish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"jewish"
"jiang",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"jiang"
"jife",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jife"
"jihad",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"jihad"
"jive",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"jives"
"jmlcol",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jmlcol"
"job",2,1,1,1,4,12,15,28,11,17,14,11,3,1,10,11,"job"
"jobrich",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"jobrich"
"johannesburg",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"johannesburg"
"john",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"john"
"join",4,5,2,0,3,6,10,16,3,10,8,12,3,11,1,5,"join"
"joint",5,2,0,0,2,2,4,8,2,10,9,16,3,4,1,1,"joint"
"jong",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"jong"
"jor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jor"
"jordan",0,0,0,1,0,0,1,2,0,0,0,1,1,4,1,1,"jordan"
"jordanianpalestinian",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jordanianpalestinian"
"jordanisrael",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"jordanisrael"
"joroill",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"joroilll"
"jortln",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jortln"
"joseph",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"joseph"
"journalist",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"journalists"
"journey",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"journey"
"jsoulh",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jsoulh"
"judg",1,2,1,2,0,2,5,6,3,3,2,2,2,1,0,0,"judge"
"judgement",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"judgement"
"judgment",2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,"judgment"
"judici",0,1,1,1,0,1,1,1,1,5,6,8,0,0,2,2,"judicial"
"judiciari",0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,0,"judiciaries"
"juli",0,0,2,2,2,3,1,2,1,3,8,8,0,2,2,0,""
"jumpstart",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"jumpstart"
"junctur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"juncture"
"june",0,1,5,1,3,3,3,5,1,10,4,12,4,0,0,0,"june"
"jupit",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"jupiter"
"jurisdict",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"jurisdiction"
"jurist",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"jurists"
"just",1,5,3,5,2,4,5,9,6,7,8,14,14,3,26,3,"just"
"justic",3,0,1,3,1,1,1,2,3,18,9,7,4,7,13,4,"justice"
"justif",0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,"justification"
"justifi",0,0,1,0,0,1,1,1,0,1,0,0,1,3,1,0,"justification"
"jxlse",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jxlse"
"kabila",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"kabila"
"kabul",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"kabul"
"kampala",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"kampala"
"kashmir",0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,"kashmir"
"kasyanov",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"kasyanov"
"katrina",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"katrina"
"kazakhstan",0,0,0,0,1,2,7,0,0,4,5,4,0,1,0,0,"kazakhstan"
"kazakstan",0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,"kazakstan"
"kedo",0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,"kedo"
"keep",6,5,2,2,1,3,3,5,7,5,5,10,4,9,13,9,"keep"
"keith",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"keith"
"keli",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,""
"kennan",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"kennans"
"kenya",0,1,0,0,0,0,0,0,0,1,0,4,1,0,1,0,"kenya"
"kenyan",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"kenyans"
"kept",0,0,1,3,1,0,0,0,0,3,1,0,0,0,0,0,"kept"
"key",16,20,5,14,8,18,20,25,27,42,35,45,9,20,22,6,"key"
"keyboard",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"keyboard"
"keyston",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"keystone"
"keyword",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"keywords"
"kfor",0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,"kfor"
"khalid",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"khalid"
"khan",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"khan"
"khartoum",0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,"khartoum"
"khartoumback",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"khartoumbacked"
"khatemi",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,"khatemi"
"khmer",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"khmer"
"kidnap",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"kidnapped"
"kiev",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"kiev"
"kill",1,0,0,0,0,0,0,0,0,2,3,2,0,12,0,1,"kill"
"killer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"killers"
"kilogram",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"kilogram"
"kilomet",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"kilometer"
"kilometerrang",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"kilometerrange"
"kim",0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,"kim"
"kind",2,2,2,3,1,1,1,2,0,0,1,1,1,0,5,0,"kind"
"kindl",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"kindle"
"king",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"king"
"kingdom",1,0,0,1,0,0,1,2,0,1,0,2,0,4,1,1,"kingdom"
"kldbal",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kldbal"
"knock",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"knock"
"know",1,1,0,4,3,3,5,6,4,1,1,2,5,7,6,2,"know"
"knowabl",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"knowable"
"knowhow",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"knowhow"
"knowledg",2,3,0,2,1,1,1,1,0,1,0,2,2,2,3,1,"knowledge"
"knowledgebas",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"knowledgebased"
"known",1,1,1,1,0,0,0,0,1,1,2,2,0,0,0,1,"known"
"kofi",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"kofi"
"kong",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"kong"
"korea",7,12,2,7,2,6,9,21,11,25,22,25,4,2,6,4,"korea"
"korean",2,3,1,5,4,5,5,10,8,14,14,20,1,3,1,4,"korean"
"kosovar",0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,"kosovar"
"kosovo",0,0,0,0,0,1,0,0,1,3,14,29,0,0,0,0,"kosovo"
"kostunica",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,"kostunica"
"krasnoyarsk",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"krasnoyarsk"
"kremlin",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"kremlins"
"kruzel",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"kruzel"
"kuchma",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"kuchma"
"kurd",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"kurd"
"kuwait",0,0,0,7,1,1,4,6,1,2,2,2,0,1,0,0,"kuwait"
"kyi",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"kyi"
"kyoto",0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,"kyoto"
"kyrgyzstan",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"kyrgyzstan"
"lab",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,"lab"
"labi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"labi"
"labl",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lable"
"labor",0,4,4,2,1,5,6,3,7,23,15,11,4,0,3,1,"labor"
"laboratori",0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,"laboratories"
"lack",1,2,1,1,0,1,1,2,1,0,1,3,0,4,3,1,"lack"
"laden",0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,1,"laden"
"ladin",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,"ladin"
"lag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"lag"
"laid",3,0,1,0,0,0,1,1,2,1,0,1,0,1,0,0,"laid"
"lake",0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,"lakes"
"lanc",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"lance"
"land",7,4,3,1,2,3,3,4,3,2,2,3,0,3,2,0,"land"
"landbas",5,1,0,2,0,2,2,2,0,1,1,3,0,0,0,0,"landbased"
"landbridg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"landbridge"
"landmark",0,0,0,0,1,1,1,2,2,3,4,3,0,0,1,1,"landmark"
"landmass",1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"landmass"
"landmassthat",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"landmassthat"
"landmin",0,0,0,0,0,0,1,4,3,4,2,1,0,0,0,0,"landmine"
"landscap",1,0,1,2,0,0,0,0,1,1,1,2,0,0,1,2,"landscape"
"lane",2,2,0,3,0,0,0,0,0,0,0,0,1,0,1,0,"lane"
"languag",0,0,1,0,0,0,0,0,0,0,1,2,1,1,2,0,"language"
"lanka",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lanka"
"lanla",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lanla"
"lanlic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lanlic"
"lao",1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,"laos"
"laotian",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"laotian"
"lar",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"large"
"larg",11,13,9,16,2,4,5,5,5,8,6,8,2,1,3,3,"large"
"larger",1,4,2,2,0,2,3,5,1,2,2,4,2,2,1,2,"larger"
"largerscal",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"largerscale"
"largescal",0,0,1,0,0,2,4,5,3,1,4,3,0,0,2,1,"largescale"
"largest",2,3,0,0,1,4,3,9,5,6,7,10,5,3,6,4,"largest"
"laser",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"lasers"
"last",13,13,5,12,5,5,13,15,11,9,13,22,6,12,6,13,"last"
"late",3,4,0,1,0,0,1,3,1,3,0,2,0,0,0,0,"late"
"latent",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"latent"
"later",0,1,0,2,0,2,1,1,1,1,0,1,0,1,0,0,"later"
"latest",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"latest"
"latin",5,12,1,5,5,2,2,5,10,8,4,4,2,2,1,2,"latin"
"latitud",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"latitude"
"latter",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,"latter"
"latvia",0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,"latvia"
"launch",8,5,2,6,1,2,3,12,5,10,17,20,1,16,4,2,"launch"
"launcher",1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,"launchers"
"launder",1,0,0,1,0,0,0,3,4,10,5,6,0,1,0,2,"launder"
"law",1,10,9,3,8,4,7,15,18,93,69,82,23,20,35,28,"law"
"lawabid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"lawabiding"
"lawand",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"lawand"
"lawbas",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lawbased"
"lawenforc",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"lawenforcement"
"lawless",0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,"lawless"
"lawn",0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,"lawn"
"lax",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"lax"
"lay",5,3,1,1,3,1,1,1,1,1,0,2,0,2,1,0,"lay"
"layer",0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,"layer"
"lead",7,7,7,6,22,11,16,23,18,24,20,30,10,20,24,41,"lead"
"leader",7,9,6,9,0,7,14,18,6,27,16,24,7,16,13,16,"leader"
"leadersh",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leadersh"
"leadershi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leadershi"
"leadership",16,20,23,14,30,17,19,29,30,32,27,31,5,5,59,37,"leadership"
"leadin",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leadin"
"leak",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leak"
"leakag",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"leakage"
"leap",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"leaps"
"lear",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lear"
"learn",0,0,0,0,3,1,4,3,0,1,5,4,2,6,6,1,"learn"
"leas",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"lease"
"least",1,3,0,1,1,4,4,3,1,3,1,1,1,5,1,0,"least"
"leav",2,1,0,2,2,0,1,2,0,0,1,1,0,3,2,0,"leave"
"leb",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leb"
"lebanon",0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,"lebanon"
"lectron",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lectronics"
"led",3,4,3,1,4,2,2,10,2,5,4,13,1,8,2,7,"led"
"leel",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leels"
"leeway",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leeway"
"left",1,1,1,1,1,1,4,6,2,1,1,4,1,2,0,0,"left"
"leg",2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,"leg"
"legaci",1,0,1,1,2,0,1,1,0,0,0,1,1,3,0,0,"legacies"
"legal",1,0,0,1,3,3,3,5,4,10,6,6,4,3,4,3,"legal"
"legion",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"legion"
"legisl",1,7,2,2,1,1,1,7,1,4,6,11,0,1,2,1,"legislation"
"legislatur",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"legislature"
"legiti",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"legiti"
"legitim",2,5,4,4,2,1,2,2,1,1,3,3,3,3,10,2,"legitimacy"
"legitimaci",0,1,0,0,0,1,1,1,0,0,0,0,1,0,5,1,""
"lem",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lem"
"lend",1,0,1,2,1,0,0,0,1,4,3,4,2,1,1,1,"lend"
"lender",0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,"lenders"
"length",1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,"length"
"lengthi",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,""
"leninist",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leninist"
"lent",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"lent"
"leon",0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,"leone"
"lept",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lepts"
"lesbian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"lesbian"
"lesotho",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"lesotho"
"less",7,9,11,18,4,6,7,10,4,8,8,14,6,5,5,1,"less"
"lessen",2,2,2,0,1,0,1,1,0,1,1,3,0,0,0,0,"lessen"
"lesser",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lesser"
"lesson",0,0,1,1,2,2,3,3,1,1,2,1,2,1,2,1,"lesson"
"lessopen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"lessopen"
"lest",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,"lest"
"let",1,1,1,1,2,1,0,0,0,0,0,1,1,2,1,0,"let"
"lethal",0,0,1,2,1,0,0,2,0,0,0,0,1,0,1,0,"lethal"
"letter",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"letters"
"levant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"levant"
"level",17,23,13,14,6,17,16,20,7,22,18,19,5,5,7,8,"level"
"levelhead",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"levelheaded"
"lever",0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"lever"
"leverag",3,5,1,0,0,1,2,2,0,1,3,2,1,1,13,6,"leverage"
"levi",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"levied"
"lgbt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"lgbt"
"lgistic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lgistics"
"lhe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lhe"
"lhl",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lhl"
"liaison",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"liaison"
"lian",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lian"
"lianc",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"liance"
"lib",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lib"
"liber",5,5,6,3,6,2,2,4,7,8,8,10,1,1,0,1,"liberal"
